pins,country,local,lat,long
1000,Egypt,Nile Delta,31.626885,31.054277
855,India,"North West India, Gulf of Cambay",21.248243,72.400322
700,China,Zhujiang River Estuary,22.417555,113.729682
700,India,East India,11.629008,79.830432
700,Pakistan,East shoreline,24.430444,67.163112
600,Bangladesh,"Mouths of the Ganges, Padme",22.227783,91.36365
600,Democratic Republic of the Congo,Diegos Bay,-6.013117,12.310998
500,India,East India,12.807216,80.288689
500,Mozambique,Mozambique Channel,-18.695223,36.485199
470,China,Lianyungang/Yancheng/Yellow Sea,34.295788,120.330717
450,China,Bohai Sea,38.725862,119.7293
450,India,North West India,18.863645,72.765351
400,Mexico,"Gulf of Mexico, Leguna la Vega Escon",22.276545,-97.738614
360,India,East India,15.73535,81.045309
350,China,Changxingxiang,31.51458,121.443804
300,Thailand,Bay of Bangkok,13.478815,100.603223
300,Bangladesh/India,"Mouths of the Ganges, Ganges",21.616303,89.161663
300,India,East India,20.246137,86.745011
300,Mexico/US,"Gulf of Mexico, Lago Mar Negro",25.98364,-97.116503
300,Mexico,West Coast,21.637473,-105.482826
270,India,East India,21.517399,87.221311
250,Indonesia,"East Java, Gresik Regency",-6.834082,112.563492
250,China,Shantou,23.312255,116.794905
250,India,East India,16.758467,82.39404
250,Cameroon,Central,3.384861,9.722972
250,Brazil,Rio San Francisco,-10.533682,-36.390197
245,India,East India,14.591277,80.22911
238,India,East India,21.832905,88.030246
230,Venezuela,Orinoco River Delta,9.033432,-60.729325
230,US,"Gulf of Mexico, Louisiana",28.912586,-89.430699
225,Myanmar,Gulf of Martaban,16.727612,97.001823
200,Vietnam,Gulf of Tonkin,20.647786,106.743825
200,India,East India,20.807252,87.092388
200,India,South West India,10.970724,75.783783
200,India,"North West India, Gulf of Kutch",22.868772,70.243235
200,Somalia,,-0.237145,42.698819
200,Kenya,North Kenya Bank,-2.837817,40.243795
200,Tanzania,Zanzibar Channel,-6.091992,38.963078
200,Ghana,Shama Bay,4.990555,-1.573216
200,Cote d'Ivoire,Sassandra,4.928946,-6.05872
180,Cote d'Ivoire,Grand-Lahou,5.10944,-5.009177
160,India,North West India,23.54185,68.364785
150,India,East India,16.257646,81.31967
150,Italy ,Venise,44.981547,12.583037
150,Brazil,Lagoa do Campelo,-21.607962,-40.980901
150,Ukraine/Romania,Black Sea,45.176397,29.815266
140,Angola,Luanda,-8.976549,12.963219
130,India,South West India,9.761647,76.196189
130,Brazil,Guanabara Bay,-22.851816,-43.163177
125,India,"East India, Gulf of Manar",8.915918,78.361332
121,China,Guantouzhen,26.117826,119.682179
120,China,Wuchuan,21.369031,110.778017
120,Ghana,Keta Lagoon,5.919608,1.022161
120,US,"Gulf of Mexico, Trinity Bay",29.633021,-94.839654
118,China,Zhenhai,30.024057,121.726795
100,China,Xiamen,24.439553,118.017364
100,India,East India,9.70535,79.23892
100,India,North West India,21.611359,69.571098
100,Irag,Persian Gulf,29.8832,48.612606
100,Senegal,Senegal River Delta,16.029062,-16.529094
100,Turkey,Sea of Marmara,40.958995,28.956263
100,Mexico,Gulf of Mexico,18.804408,-92.342818
92,Senegal,Salown,13.990237,-16.795561
89,India,East India,15.832951,80.525626
88,China,Taizhou,28.659406,121.562338
83,Indonesia,"Java, Bantul Regency",-8.016835,110.234684
80,Indonesia,South Sumatra,-2.326574,104.786124
80,England,Satllingborough Haven,53.576442,0.10088
80,Germany,Heligoand Bight,53.961045,8.763575
75,China,Quanzhou,24.831627,118.699283
75,Morocco,,34.609055,-6.489586
74,Indonesia,"Sumatra, East Tanjung Jabung Regency",-1.010194,104.207282
72,North Korea,Dandong,39.815329,124.307488
70,India,East India,19.637364,85.501269
70,Angola,Bosluisbaai,-17.246431,11.727828
68,China,Xincheng,27.896062,120.918157
60,Indonesia,"East Java, Sidoarjo Regency",-7.506274,112.868379
58,France,Gole de Fos,43.321195,4.844387
55,Cote d'Ivoire,Le Trou sand Fond,5.236367,-3.99328
53,Brazil,Ilha Grande,-2.810139,-41.686904
51,Russia,Sea of Azov,47.140274,39.20738
50, Ghana,Korle Lagoon,5.504592,-0.265448
50,Turkey,Antakya Bay,36.029898,35.949609
50,Colombia,Ciengago La Bahia,11.110777,-74.870296
50,US,South Carolina,33.215084,-79.10794
49,Venezuela,Rio Chico,10.398136,-65.959289
45,Russia,Sea of Azov,45.411304,37.444518
43,Madagascar,West Madagascar,-19.683118,44.388749
42,China,Yangkouzhen,32.6274,121.065662
40,Sudan,Red Sea,18.81213,37.799663
40,US,"Gulf of Mexico, Mobile Bay",30.612442,-88.007189
40,Ukraine ,Black Sea,46.108013,30.586345
